"country","iso2c","iso3c","year","SE.XPD.TOTL.GD.ZS"
"Australia","AU","AUS",2020,6.09999990463257
"Australia","AU","AUS",2019,5.13531017303467
"Australia","AU","AUS",2018,5.12344980239868
"Australia","AU","AUS",2017,5.13680982589722
"Australia","AU","AUS",2016,5.28623008728027
"Australia","AU","AUS",2015,5.31583976745605
"Australia","AU","AUS",2014,5.1646900177002
"Australia","AU","AUS",2013,5.22923994064331
"Australia","AU","AUS",2012,4.86787986755371
"Australia","AU","AUS",2011,5.06995010375977
"Australia","AU","AUS",2010,5.54303979873657
"Bangladesh","BD","BGD",2020,2.04921746253967
"Bangladesh","BD","BGD",2019,1.97184658050537
"Bangladesh","BD","BGD",2018,1.94795548915863
"Bangladesh","BD","BGD",2017,2.21661949157715
"Bangladesh","BD","BGD",2016,2.22119998931885
"Bangladesh","BD","BGD",2015,1.87225413322449
"Bangladesh","BD","BGD",2014,2.09871673583984
"Bangladesh","BD","BGD",2013,1.96616005897522
"Bangladesh","BD","BGD",2012,2.04667067527771
"Bangladesh","BD","BGD",2011,2.13269996643066
"Bangladesh","BD","BGD",2010,NA
"Bulgaria","BG","BGR",2020,4.03999996185303
"Bulgaria","BG","BGR",2019,4.19717979431152
"Bulgaria","BG","BGR",2018,4.04530000686646
"Bulgaria","BG","BGR",2017,4.07527017593384
"Bulgaria","BG","BGR",2016,3.4033100605011
"Bulgaria","BG","BGR",2015,3.92179489135742
"Bulgaria","BG","BGR",2014,4.0829291343689
"Bulgaria","BG","BGR",2013,4.05822992324829
"Bulgaria","BG","BGR",2012,3.47637009620667
"Bulgaria","BG","BGR",2011,3.5469799041748
"Bulgaria","BG","BGR",2010,3.85796999931335
"Brazil","BR","BRA",2020,NA
"Brazil","BR","BRA",2019,5.96346998214722
"Brazil","BR","BRA",2018,6.08851003646851
"Brazil","BR","BRA",2017,6.32047986984253
"Brazil","BR","BRA",2016,6.314040184021
"Brazil","BR","BRA",2015,6.24105978012085
"Brazil","BR","BRA",2014,5.94848012924194
"Brazil","BR","BRA",2013,5.8388500213623
"Brazil","BR","BRA",2012,5.85510015487671
"Brazil","BR","BRA",2011,5.73741006851196
"Brazil","BR","BRA",2010,5.64879989624023
"Canada","CA","CAN",2020,5.17000007629395
"Canada","CA","CAN",2019,4.77293014526367
"Canada","CA","CAN",2018,4.8889799118042
"Canada","CA","CAN",2017,4.95996999740601
"Canada","CA","CAN",2016,4.81642007827759
"Canada","CA","CAN",2015,4.7393798828125
"Canada","CA","CAN",2014,4.84358978271484
"Canada","CA","CAN",2013,4.5890097618103
"Canada","CA","CAN",2012,4.69258737564087
"Canada","CA","CAN",2011,5.26205015182495
"Canada","CA","CAN",2010,5.356369972229
"Germany","DE","DEU",2020,4.65999984741211
"Germany","DE","DEU",2019,5.11664009094238
"Germany","DE","DEU",2018,4.97576999664307
"Germany","DE","DEU",2017,4.87182998657227
"Germany","DE","DEU",2016,4.83923006057739
"Germany","DE","DEU",2015,4.85515022277832
"Germany","DE","DEU",2014,4.92102003097534
"Germany","DE","DEU",2013,4.93538999557495
"Germany","DE","DEU",2012,4.95658016204834
"Germany","DE","DEU",2011,4.82487010955811
"Germany","DE","DEU",2010,4.94367980957031
"Denmark","DK","DNK",2020,6.38000011444092
"Denmark","DK","DNK",2019,6.88857984542847
"Denmark","DK","DNK",2018,6.79277992248535
"Denmark","DK","DNK",2017,7.75243997573853
"Denmark","DK","DNK",2016,7.4769401550293
"Denmark","DK","DNK",2015,7.01041460037231
"Denmark","DK","DNK",2014,7.634850025177
"Denmark","DK","DNK",2013,8.49442958831787
"Denmark","DK","DNK",2012,7.23782014846802
"Denmark","DK","DNK",2011,8.48486042022705
"Denmark","DK","DNK",2010,8.55955028533936
"Egypt, Arab Rep.","EG","EGY",2020,2.48000001907349
"Egypt, Arab Rep.","EG","EGY",2019,2.60999989509583
"Egypt, Arab Rep.","EG","EGY",2018,NA
"Egypt, Arab Rep.","EG","EGY",2017,NA
"Egypt, Arab Rep.","EG","EGY",2016,4.05000019073486
