"country","iso2c","iso3c","year","SL.TLF.TOTL.IN"
"Australia","AU","AUS",2020,13590200
"Australia","AU","AUS",2019,13590353
"Australia","AU","AUS",2018,13308365
"Australia","AU","AUS",2017,13006679
"Australia","AU","AUS",2016,12728417
"Australia","AU","AUS",2015,12554514
"Australia","AU","AUS",2014,12316359
"Australia","AU","AUS",2013,12176891
"Australia","AU","AUS",2012,12006302
"Australia","AU","AUS",2011,11842238
"Australia","AU","AUS",2010,11661196
"Bangladesh","BD","BGD",2020,70940009
"Bangladesh","BD","BGD",2019,70248866
"Bangladesh","BD","BGD",2018,68748317
"Bangladesh","BD","BGD",2017,67164740
"Bangladesh","BD","BGD",2016,63166278
"Bangladesh","BD","BGD",2015,62009867
"Bangladesh","BD","BGD",2014,60904128
"Bangladesh","BD","BGD",2013,59781775
"Bangladesh","BD","BGD",2012,58662412
"Bangladesh","BD","BGD",2011,57602724
"Bangladesh","BD","BGD",2010,56625230
"Bulgaria","BG","BGR",2020,3311854
"Bulgaria","BG","BGR",2019,3391873
"Bulgaria","BG","BGR",2018,3338430
"Bulgaria","BG","BGR",2017,3364252
"Bulgaria","BG","BGR",2016,3265483
"Bulgaria","BG","BGR",2015,3333481
"Bulgaria","BG","BGR",2014,3357878
"Bulgaria","BG","BGR",2013,3363140
"Bulgaria","BG","BGR",2012,3335298
"Bulgaria","BG","BGR",2011,3323514
"Bulgaria","BG","BGR",2010,3405748
"Brazil","BR","BRA",2020,100641931
"Brazil","BR","BRA",2019,107415119
"Brazil","BR","BRA",2018,105437486
"Brazil","BR","BRA",2017,104079619
"Brazil","BR","BRA",2016,102278732
"Brazil","BR","BRA",2015,101299234
"Brazil","BR","BRA",2014,99628943
"Brazil","BR","BRA",2013,98532618
"Brazil","BR","BRA",2012,97188188
"Brazil","BR","BRA",2011,94948392
"Brazil","BR","BRA",2010,95367503
"Canada","CA","CAN",2020,20487246
"Canada","CA","CAN",2019,20758436
"Canada","CA","CAN",2018,20344109
"Canada","CA","CAN",2017,20144986
"Canada","CA","CAN",2016,19877599
"Canada","CA","CAN",2015,19690128
"Canada","CA","CAN",2014,19586757
"Canada","CA","CAN",2013,19522292
"Canada","CA","CAN",2012,19316264
"Canada","CA","CAN",2011,19146806
"Canada","CA","CAN",2010,18985431
"Germany","DE","DEU",2020,43501191
"Germany","DE","DEU",2019,44433742
"Germany","DE","DEU",2018,43935037
"Germany","DE","DEU",2017,43819028
"Germany","DE","DEU",2016,43567225
"Germany","DE","DEU",2015,42660627
"Germany","DE","DEU",2014,42458390
"Germany","DE","DEU",2013,42212987
"Germany","DE","DEU",2012,41853628
"Germany","DE","DEU",2011,41729225
"Germany","DE","DEU",2010,41949334
