"country","iso2c","iso3c","year","NY.GDP.PCAP.KD"
"Australia","AU","AUS",2020,58117.4520268812
"Australia","AU","AUS",2019,58870.0216937531
"Australia","AU","AUS",2018,58481.0344237649
"Australia","AU","AUS",2017,57703.0343638334
"Australia","AU","AUS",2016,57356.0512417034
"Australia","AU","AUS",2015,56710.4457244504
"Australia","AU","AUS",2014,56320.1102887168
"Australia","AU","AUS",2013,55729.1929884612
"Australia","AU","AUS",2012,55271.3661365871
"Australia","AU","AUS",2011,54132.5217536452
"Australia","AU","AUS",2010,53607.9847584907
"Bangladesh","BD","BGD",2020,1593.3483212523
"Bangladesh","BD","BGD",2019,1557.96529123717
"Bangladesh","BD","BGD",2018,1460.30501692162
"Bangladesh","BD","BGD",2017,1376.60420794304
"Bangladesh","BD","BGD",2016,1307.73303467616
"Bangladesh","BD","BGD",2015,1236.00506049059
"Bangladesh","BD","BGD",2014,1173.89363446619
"Bangladesh","BD","BGD",2013,1120.68594020214
"Bangladesh","BD","BGD",2012,1070.5957425395
"Bangladesh","BD","BGD",2011,1017.62828088402
"Bangladesh","BD","BGD",2010,967.561603724016
"Bulgaria","BG","BGR",2020,7956.46908962689
"Bulgaria","BG","BGR",2019,8234.83966944834
"Bulgaria","BG","BGR",2018,7859.6921556743
"Bulgaria","BG","BGR",2017,7599.12495683519
"Bulgaria","BG","BGR",2016,7341.04761379451
"Bulgaria","BG","BGR",2015,7074.68102325059
"Bulgaria","BG","BGR",2014,6796.68911922266
"Bulgaria","BG","BGR",2013,6693.45015260161
"Bulgaria","BG","BGR",2012,6693.61236429071
"Bulgaria","BG","BGR",2011,6605.08982045823
"Bulgaria","BG","BGR",2010,6427.81006212601
"Brazil","BR","BRA",2020,8204.20272600881
"Brazil","BR","BRA",2019,8592.22153753537
"Brazil","BR","BRA",2018,8553.87618653936
"Brazil","BR","BRA",2017,8470.95078857257
"Brazil","BR","BRA",2016,8426.85335245502
"Brazil","BR","BRA",2015,8783.22598387817
"Brazil","BR","BRA",2014,9183.4707680256
"Brazil","BR","BRA",2013,9216.14336043625
"Brazil","BR","BRA",2012,9025.32484753836
"Brazil","BR","BRA",2011,8935.28805708641
"Brazil","BR","BRA",2010,8673.9088122477
"Canada","CA","CAN",2020,42258.6910170917
"Canada","CA","CAN",2019,45109.2444855151
"Canada","CA","CAN",2018,44917.4837282326
"Canada","CA","CAN",2017,44325.4883367463
"Canada","CA","CAN",2016,43536.9134032467
"Canada","CA","CAN",2015,43596.1355365546
"Canada","CA","CAN",2014,43635.0954811371
"Canada","CA","CAN",2013,42846.2841957958
"Canada","CA","CAN",2012,42315.8073891558
"Canada","CA","CAN",2011,42036.9978438542
"Canada","CA","CAN",2010,41155.3236376889
"Germany","DE","DEU",2020,41650.4227126493
"Germany","DE","DEU",2019,43284.6024553493
"Germany","DE","DEU",2018,42928.7412368012
"Germany","DE","DEU",2017,42639.5544087286
"Germany","DE","DEU",2016,41682.0322433511
"Germany","DE","DEU",2015,41103.2564363768
"Germany","DE","DEU",2014,40851.1617304855
"Germany","DE","DEU",2013,40135.0158319837
"Germany","DE","DEU",2012,40069.3539560742
"Germany","DE","DEU",2011,39977.3417095357
"Germany","DE","DEU",2010,37760.9136283996
