"country","iso2c","iso3c","year","NE.TRD.GNFS.ZS"
"Australia","AU","AUS",2020,44.2334340841568
"Australia","AU","AUS",2019,45.8267257025408
"Australia","AU","AUS",2018,43.3895481199478
"Australia","AU","AUS",2017,41.9513448728358
"Australia","AU","AUS",2016,40.822834830936
"Australia","AU","AUS",2015,41.6231084115431
"Australia","AU","AUS",2014,42.471742409125
"Australia","AU","AUS",2013,41.27489915379
"Australia","AU","AUS",2012,43.1667351030812
"Australia","AU","AUS",2011,41.8425510944351
"Australia","AU","AUS",2010,40.5203306398613
"Bangladesh","BD","BGD",2020,26.2714465475855
"Bangladesh","BD","BGD",2019,31.5780512814675
"Bangladesh","BD","BGD",2018,32.5146317240884
"Bangladesh","BD","BGD",2017,29.9997306724343
"Bangladesh","BD","BGD",2016,31.3341501346142
"Bangladesh","BD","BGD",2015,42.0859963070382
"Bangladesh","BD","BGD",2014,44.5140801968096
"Bangladesh","BD","BGD",2013,46.2964027239758
"Bangladesh","BD","BGD",2012,48.1109227476789
"Bangladesh","BD","BGD",2011,47.4208498356898
"Bangladesh","BD","BGD",2010,37.8028426708321
"Bulgaria","BG","BGR",2020,110.281829998235
"Bulgaria","BG","BGR",2019,124.63959983931
"Bulgaria","BG","BGR",2018,128.851658793041
"Bulgaria","BG","BGR",2017,129.676597014807
"Bulgaria","BG","BGR",2016,122.833824180651
"Bulgaria","BG","BGR",2015,126.700942430032
"Bulgaria","BG","BGR",2014,130.28729035681
"Bulgaria","BG","BGR",2013,129.732659126464
"Bulgaria","BG","BGR",2012,123.993561447479
"Bulgaria","BG","BGR",2011,117.456289316293
"Bulgaria","BG","BGR",2010,103.411584202859
"Brazil","BR","BRA",2020,32.8904521044545
"Brazil","BR","BRA",2019,28.8902578692948
"Brazil","BR","BRA",2018,28.8762033745466
"Brazil","BR","BRA",2017,24.3197343746749
"Brazil","BR","BRA",2016,24.5336820804399
"Brazil","BR","BRA",2015,26.9536259360114
"Brazil","BR","BRA",2014,24.6854058183204
"Brazil","BR","BRA",2013,25.7859573255328
"Brazil","BR","BRA",2012,25.1142736128073
"Brazil","BR","BRA",2011,23.9344051776102
"Brazil","BR","BRA",2010,22.7721781120049
